Timestamp	StimuliName	FixationIndex	FixationDuration	MappedFixationPointX	MappedFixationPointY	user	description
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
25860	01_Antwerpen_extralongname_S1.jpg	9000	2500	1151	4580	superlonglonguser	superdetailedcolor
